time,audio_spend,audio_impression,search_spend,search_impression,social_spend,social_impression,streaming_spend,streaming_impression,tv_spend,tv_impression,video_spend,video_impression,conversions,revenue_per_conversion,gqv_control
2023-06-14,10198.86,72618,403177.67,29794822,8772.95,527640,19175.87,3421778,120093.64,150587834,25825.87,27734103,30392,111.5424,1293.16
2023-06-21,12148.28,85327,312792.22,22889461,5616.75,346273,22392.27,3795700,90045.3,114948044,22850.2,25350450,29214,111.5876,1370.88
2023-06-28,8774.92,68221,272381.26,21855681,7268.0,447772,25749.75,4554962,113315.61,148503090,22854.65,25808298,31305,114.2874,1393.72
2023-07-05,9594.15,72317,335432.19,26696247,8510.9,528166,23882.69,4340949,85683.92,107272596,26962.67,29716379,34697,114.6447,1490.7
2023-07-12,15815.27,114540,345779.53,28715955,5934.68,403718,23967.36,4978524,97275.71,124301192,22214.72,24646965,32562,114.1495,1389.9
2023-07-19,8700.1,62872,260352.72,20545919,7655.08,470074,26351.67,4685791,88655.97,102404396,25633.16,29133161,32478,112.4271,1392.56
2023-07-26,14679.19,105429,341828.82,26611418,5041.17,329716,26410.39,5100509,99684.58,132856144,32911.29,37113350,35002,113.7382,1425.66
2023-08-02,0.0,0,285911.99,23183514,4380.78,276473,25081.25,4447247,114669.5,148678422,22458.45,24876894,35526,115.4709,1475.57
2023-08-09,0.0,0,333238.24,29559495,5578.24,380510,27645.01,5389160,78879.51,99756943,21405.84,24245137,34135,114.1198,1411.22
2023-08-16,9782.12,72859,350921.88,30094500,5761.26,365828,25786.89,4692298,118530.11,158404592,28548.19,34477599,36410,114.5943,1446.49
2023-08-23,6983.21,51034,323528.15,29936789,5386.3,390091,25901.57,5087729,101303.41,144020218,27159.23,31352383,35775,112.915,1416.83
2023-08-30,6953.29,51222,275552.88,21942470,4305.45,248167,29935.88,5885110,110921.27,145973408,26931.76,29602999,34756,112.6812,1494.75
2023-09-06,9212.73,67982,250494.27,19965373,3977.42,276793,22982.0,4178321,101541.09,132573609,21831.92,27040044,36336,113.6133,1471.98
2023-09-13,9734.98,75376,394393.16,32805809,4962.53,301173,24928.47,4550100,93622.19,120849603,20916.86,24685506,35071,110.2519,1457.54
